feature,feature_set,business_role
release_year,A_design_distribution_screening,planning/screening input
platform_count,A_design_distribution_screening,planning/screening input
is_multiplayer,A_design_distribution_screening,planning/screening input
is_multi_platform,A_design_distribution_screening,planning/screening input
achievements_count,A_design_distribution_screening,planning/screening input
game_series_count,A_design_distribution_screening,planning/screening input
theme,A_design_distribution_screening,planning/screening input
art_style,A_design_distribution_screening,planning/screening input
view_dimension,A_design_distribution_screening,planning/screening input
game_mode,A_design_distribution_screening,planning/screening input
controls,A_design_distribution_screening,planning/screening input
esrb_rating,A_design_distribution_screening,planning/screening input
decade,A_design_distribution_screening,planning/screening input
design_text,A_design_distribution_screening,planning/screening input
platform_text,A_design_distribution_screening,planning/screening input
